,entity_id,node_type,node_id,cluster
292,LMT,company,292,2
293,L,company,293,2
294,LOW,company,294,2
295,LULU,company,295,2
296,LYB,company,296,2
297,MTB,company,297,0
298,MPC,company,298,2
299,MKTX,company,299,2
300,MAR,company,300,2
301,MMC,company,301,2
302,MLM,company,302,2
303,MAS,company,303,2
304,MA,company,304,0
305,MTCH,company,305,0
306,MKC,company,306,0
307,MCD,company,307,0
308,MCK,company,308,0
309,MDT,company,309,0
310,MRK,company,310,0
311,META,company,311,0
312,MET,company,312,0
313,MTD,company,313,2
314,MGM,company,314,2
315,MCHP,company,315,2
316,MU,company,316,2
317,MSFT,company,317,0
318,MAA,company,318,2
319,MRNA,company,319,2
320,MHK,company,320,0
321,MOH,company,321,0
322,TAP,company,322,0
323,MDLZ,company,323,0
324,MPWR,company,324,0
325,MNST,company,325,0
326,MCO,company,326,0
327,MS,company,327,2
328,MOS,company,328,2
329,MSI,company,329,2
330,MSCI,company,330,0
331,NDAQ,company,331,2
332,NTAP,company,332,0
333,NFLX,company,333,0
334,NEM,company,334,0
335,NWSA,company,335,2
336,NWS,company,336,2
337,NEE,company,337,2
338,NKE,company,338,2
339,NI,company,339,2
340,NDSN,company,340,0
341,NSC,company,341,2
342,NTRS,company,342,2
343,NOC,company,343,2
344,NCLH,company,344,2
345,NRG,company,345,0
346,NUE,company,346,0
347,NVDA,company,347,0
348,NVR,company,348,0
349,NXPI,company,349,0
350,ORLY,company,350,2
351,OXY,company,351,2
352,ODFL,company,352,2
353,OMC,company,353,0
354,ON,company,354,2
355,OKE,company,355,2
356,ORCL,company,356,0
357,OTIS,company,357,2
358,PCAR,company,358,2
359,PKG,company,359,2
360,PLTR,company,360,2
361,PANW,company,361,0
362,PARA,company,362,0
363,PH,company,363,2
364,PAYX,company,364,2
365,PAYC,company,365,0
366,PYPL,company,366,0
367,PNR,company,367,2
368,PEP,company,368,0
369,PFE,company,369,0
370,PCG,company,370,0
371,PM,company,371,0
372,PSX,company,372,2
373,PNW,company,373,0
374,PNC,company,374,2
375,POOL,company,375,2
376,PPG,company,376,2
377,PPL,company,377,0
378,PFG,company,378,0
379,PG,company,379,0
380,PGR,company,380,2
381,PLD,company,381,0
382,PRU,company,382,0
383,PEG,company,383,2
384,PTC,company,384,2
385,PSA,company,385,2
386,PHM,company,386,0
387,PWR,company,387,2
388,QCOM,company,388,0
389,DGX,company,389,0
390,RL,company,390,0
391,RJF,company,391,0
392,RTX,company,392,2
393,O,company,393,0
394,REG,company,394,2
395,REGN,company,395,0
396,RF,company,396,0
397,RSG,company,397,2
398,RMD,company,398,0
399,RVTY,company,399,2
400,ROK,company,400,0
401,ROL,company,401,2
402,ROP,company,402,2
403,ROST,company,403,2
404,RCL,company,404,0
405,SPGI,company,405,0
406,CRM,company,406,0
407,SBAC,company,407,2
408,SLB,company,408,0
409,STX,company,409,2
